"ID","Title","Severity","CWE","Active","Verified","Test_ID","Found_By"
1,"javascript.express.security.audit.xss.mustache-escape.template-unescaped-with-safe-string","Medium",79,true,false,2,"204"
2,"javascript.lang.security.audit.path-traversal.path-join-resolve-traversal","Medium",22,true,false,2,"204"
3,"javascript.express.security.express-jwt-hardcoded-secret.express-jwt-hardcoded-secret","High",798,true,false,2,"204"
4,"javascript.sequelize.security.audit.sequelize-raw-query","High",89,true,false,2,"204"
5,"javascript.lang.security.detect-eval-with-expression","High",95,true,false,2,"204"
6,"javascript.express.security.audit.express-open-redirect","Medium",601,true,false,2,"204"
7,"javascript.lang.security.audit.unsafe-deserialization","Medium",502,true,false,2,"204"
8,"javascript.lang.security.audit.detect-non-literal-require","Medium",94,true,false,2,"204"
9,"CVE-2022-27943 GCC-12-Base 12.2.0-14+deb12u1","Low",674,true,true,3,"22"
10,"CVE-2025-4802 Libc6 2.36-9+deb12u10","High",426,true,true,3,"22"
11,"CVE-2026-0861 Libc6 2.36-9+deb12u10","High",190,true,true,3,"22"
12,"CVE-2025-15281 Libc6 2.36-9+deb12u10","Medium",908,true,true,3,"22"
13,"CVE-2025-8058 Libc6 2.36-9+deb12u10","Medium",415,true,true,3,"22"
14,"CVE-2026-0915 Libc6 2.36-9+deb12u10","Medium",908,true,true,3,"22"
15,"CVE-2010-4756 Libc6 2.36-9+deb12u10","Low",399,true,true,3,"22"
16,"CVE-2018-20796 Libc6 2.36-9+deb12u10","Low",674,true,true,3,"22"
17,"CVE-2019-1010022 Libc6 2.36-9+deb12u10","Low",119,true,true,3,"22"
18,"CVE-2019-1010023 Libc6 2.36-9+deb12u10","Low",0,true,true,3,"22"
19,"CVE-2019-1010024 Libc6 2.36-9+deb12u10","Low",200,true,true,3,"22"
20,"CVE-2019-1010025 Libc6 2.36-9+deb12u10","Low",330,true,true,3,"22"
21,"CVE-2019-9192 Libc6 2.36-9+deb12u10","Low",674,true,true,3,"22"
22,"CVE-2022-27943 Libgcc-S1 12.2.0-14+deb12u1","Low",674,true,true,3,"22"
23,"CVE-2022-27943 Libgomp1 12.2.0-14+deb12u1","Low",674,true,true,3,"22"
